Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,404,17,11.52,1 - Standard 16-Bit,17,LX4-PARFECT,,,,,,+3m,5kg,LX_3,"3,289m","6,973m","-6,778m",0°,0°,0°,0°,0°,No,,,No,,,71ec7258-4d69-48cd-ac72-d6ff631b7e50,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,304,17,10.52,1 - Standard 16-Bit,17,LX3-PARFECT,,,,,,+3m,5kg,LX_2,"3,287m","6,973m","-5,258m",0°,0°,0°,0°,0°,No,,,No,,,be7b9155-a970-42b3-87ea-eda8c3d60e44,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,702,,702,25,5.45,3 16-Bit RGBAL 1.5,22,LVB1_T11,,,,,,,"15,7kg",Tour de lumière,"-3,846m","6,658m","4,838m","50,4°","-52,3°","43,7°",63°,28°,No,,,No,,,f8c53f90-d8d2-4a63-8ddc-e7d91610f763,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,802,25,5.67,3 16-Bit RGBAL 1.5,22,LVB2_T11,,,,,,,"15,7kg",Tour de lumière,"4,412m","6,907m","5,330m","59,2°","53,6°","-53,5°",-69°,30°,No,,,No,,,4db2074c-975a-4419-92f7-32fe1c6c76b5,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,714,"1, 10",6.62,3 16-Bit RGBAL 1.5,22,LB1.1-T11,,,,,,,"15,7kg",Boom L_1,"-5,190m","0,353m","-2,268m","89,8°","0,8°","90,2°",-269°,90°,No,,,No,,,3748ac37-313b-4632-a475-ce5cec510b40,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,713,"1, 11",6.40,3 16-Bit RGBAL 1.5,22,LB1.1-T11,,,,,,,"15,7kg",Boom L_1,"-5,122m","0,959m","-2,222m",90°,"0,0°","90,7°",-269°,90°,No,,,No,,,af50de53-40d6-436a-b720-475753df5f2e,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,712,"1, 13",6.18,3 16-Bit RGBAL 1.5,22,LB1.1-T11,,,,,,,"15,7kg",Boom L_1,"-5,190m","1,592m","-2,268m","89,9°","-0,0°","90,3°",-269°,89°,No,,,No,,,767aca85-bd90-458a-b3ca-596573beb1a7,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,814,"5, 9",7.62,3 16-Bit RGBAL 1.5,22,LB2.1-T11,,,,,,,"15,7kg",Boom R_1,"5,122m","0,353m","-2,229m","90,2°","-0,8°","-90,5°",-90°,90°,No,,,No,,,17f38fd5-0a03-4405-b4a0-43243b9fd92d,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,813,"5, 12",7.40,3 16-Bit RGBAL 1.5,22,LB2.1-T11,,,,,,,"15,7kg",Boom R_1,"5,122m","1,030m","-2,229m","90,0°","-0,0°","-90,0°",-89°,90°,No,,,No,,,486df66f-eb1e-4d4c-a6ae-15af46af8534,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,812,"5, 14",7.18,3 16-Bit RGBAL 1.5,22,LB2.1-T11,,,,,,,"15,7kg",Boom R_1,"5,122m","1,592m","-2,253m","90,1°","0,0°","-90,4°",-90°,89°,No,,,No,,,3bf8f0ee-6452-4aa1-ba14-62b0dde1ea89,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,824,"6, 9",7.145,3 16-Bit RGBAL 1.5,22,LB2.2-T11,,,,,,,"15,7kg",Boom R_2,"5,121m","0,367m","-3,816m","90,2°","-0,8°","-90,5°",-90°,90°,No,,,No,,,0889386f-2ebb-4e00-ad7f-fd304fe86525,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,823,"6, 12",7.123,3 16-Bit RGBAL 1.5,22,LB2.2-T11,,,,,,,"15,7kg",Boom R_2,"5,121m","1,044m","-3,815m","90,0°","-0,0°","-90,0°",-89°,90°,No,,,No,,,c39b4ca9-8479-4183-a9f1-4688104840e7,
